date;time;type;value;unit
28/01/2015;10:21:55.818;volatile organic compounds;0.06;ppm
28/01/2015;10:21:59.238;carbon dioxide;405;ppm
28/01/2015;10:22:47.090;indoor relative humidity;34.0;%
28/01/2015;10:23:45.493;indoor relative humidity;34.0;%
28/01/2015;10:24:45.905;indoor relative humidity;34.0;%
28/01/2015;10:24:51.295;indoor temperature;21.5;°C
28/01/2015;10:24:54.315;volatile organic compounds;0.05;ppm
28/01/2015;10:25:00.136;carbon dioxide;394;ppm
28/01/2015;10:25:44.517;indoor relative humidity;34.0;%
28/01/2015;10:26:46.600;indoor relative humidity;34.0;%
28/01/2015;10:27:44.014;indoor relative humidity;34.0;%
28/01/2015;10:27:51.534;indoor temperature;21.6;°C
28/01/2015;10:27:55.935;volatile organic compounds;0.05;ppm
28/01/2015;10:28:00.635;carbon dioxide;405;ppm
28/01/2015;10:28:45.597;indoor relative humidity;34.0;%
28/01/2015;10:29:45.000;indoor relative humidity;34.0;%
28/01/2015;10:30:46.204;indoor relative humidity;34.0;%
28/01/2015;10:30:51.424;indoor temperature;21.7;°C
28/01/2015;10:30:54.124;volatile organic compounds;0.05;ppm
28/01/2015;10:31:01.934;carbon dioxide;396;ppm
28/01/2015;10:31:45.216;indoor relative humidity;34.0;%
28/01/2015;10:32:45.108;indoor relative humidity;34.0;%
28/01/2015;10:33:44.801;indoor relative humidity;34.0;%
28/01/2015;10:33:49.401;indoor temperature;21.6;°C
28/01/2015;10:33:55.131;volatile organic compounds;0.05;ppm
28/01/2015;10:34:00.731;carbon dioxide;398;ppm
28/01/2015;10:34:44.303;indoor relative humidity;34.0;%
28/01/2015;10:35:44.395;indoor relative humidity;34.0;%
28/01/2015;10:36:45.787;indoor relative humidity;34.0;%
28/01/2015;10:36:49.808;indoor temperature;21.7;°C
28/01/2015;10:36:54.208;volatile organic compounds;0.05;ppm
28/01/2015;10:37:02.138;carbon dioxide;405;ppm
28/01/2015;10:37:45.600;indoor relative humidity;34.0;%
28/01/2015;10:38:45.892;indoor relative humidity;34.0;%
28/01/2015;10:39:46.894;indoor relative humidity;34.0;%
28/01/2015;10:39:49.024;indoor temperature;21.6;°C
28/01/2015;10:39:54.925;volatile organic compounds;0.05;ppm
28/01/2015;10:40:00.525;carbon dioxide;414;ppm
28/01/2015;10:40:45.807;indoor relative humidity;34.0;%
28/01/2015;10:41:46.410;indoor relative humidity;34.0;%
28/01/2015;10:42:46.302;indoor relative humidity;34.0;%
28/01/2015;10:42:51.802;indoor temperature;21.7;°C
28/01/2015;10:42:54.333;volatile organic compounds;0.05;ppm
28/01/2015;10:42:59.113;carbon dioxide;408;ppm
28/01/2015;10:43:45.094;indoor relative humidity;34.0;%
28/01/2015;10:44:46.088;indoor relative humidity;34.0;%
28/01/2015;10:45:45.100;indoor relative humidity;34.0;%
28/01/2015;10:45:49.810;indoor temperature;21.4;°C
28/01/2015;10:45:55.130;volatile organic compounds;0.06;ppm
28/01/2015;10:45:59.931;carbon dioxide;420;ppm
28/01/2015;10:46:46.022;indoor relative humidity;34.0;%
28/01/2015;10:47:44.505;indoor relative humidity;34.0;%
28/01/2015;10:48:47.027;indoor relative humidity;34.0;%
28/01/2015;10:48:49.327;indoor temperature;21.7;°C
28/01/2015;10:48:57.118;volatile organic compounds;0.05;ppm
28/01/2015;10:48:59.628;carbon dioxide;405;ppm
28/01/2015;10:49:44.100;indoor relative humidity;34.0;%
28/01/2015;10:50:45.022;indoor relative humidity;34.0;%
28/01/2015;10:51:44.195;indoor relative humidity;34.0;%
28/01/2015;10:51:49.515;indoor temperature;21.4;°C
28/01/2015;10:51:55.215;volatile organic compounds;0.05;ppm
28/01/2015;10:52:01.145;carbon dioxide;408;ppm
28/01/2015;10:52:46.817;indoor relative humidity;34.0;%
28/01/2015;10:53:45.511;indoor relative humidity;34.0;%
28/01/2015;10:54:46.704;indoor relative humidity;34.0;%
28/01/2015;10:54:49.724;indoor temperature;21.6;°C
28/01/2015;10:54:54.434;volatile organic compounds;0.05;ppm
28/01/2015;10:55:02.044;carbon dioxide;405;ppm
28/01/2015;10:55:45.016;indoor relative humidity;34.0;%
28/01/2015;10:56:47.019;indoor relative humidity;35.0;%
28/01/2015;10:57:44.692;indoor relative humidity;35.0;%
28/01/2015;10:57:50.322;indoor temperature;21.6;°C
28/01/2015;10:57:55.843;volatile organic compounds;0.05;ppm
28/01/2015;10:58:01.743;carbon dioxide;411;ppm
28/01/2015;10:58:46.595;indoor relative humidity;35.0;%
28/01/2015;10:59:46.507;indoor relative humidity;35.0;%
28/01/2015;11:00:46.229;indoor relative humidity;35.0;%
28/01/2015;11:00:51.520;indoor temperature;21.7;°C
